,out_dim,inner_dim,eager,fuser,ratio of memory throughput (higher is better)
251,152,112,260.588,737.316,2.8294319001642436
252,184,112,300.852,812.597,2.700985866804941
253,184,112,307.182,851.852,2.773118216562168
254,184,112,310.508,867.013,2.792240457572752
243,72,112,133.846,157.156,1.1741553725923823
269,368,112,539.119,1090.96,2.023597758565363
257,184,112,313.345,871.226,2.780404984920774
258,200,112,323.139,849.001,2.627355410519931
259,200,112,329.857,883.347,2.677969544378321
260,200,112,333.13,896.246,2.690379131270075
261,200,112,335.338,895.941,2.671755065038856
262,200,112,336.088,898.471,2.673320677917688
263,200,112,336.493,898.171,2.6692115437765422
264,368,112,533.921,1101.14,2.0623650315308817
265,368,112,538.483,1105.07,2.052191062670502
266,368,112,539.622,1102.99,2.044004877488316
267,368,112,540.88,1099.49,2.0327799142138736
256,184,112,312.916,871.149,2.783970778100193
255,184,112,312.117,870.175,2.787976944543232
242,72,112,133.046,154.342,1.160064939945583
240,72,112,128.327,141.38,1.1017167080972827
216,24,112,43.9912,173.978,3.9548364218298206
217,24,112,44.9562,168.687,3.752252192133677
218,24,112,45.5115,175.542,3.8570910648956858
219,24,112,45.8308,185.76,4.053169484276949
220,24,112,45.965,191.113,4.157793973675623
221,24,112,45.9786,193.656,4.211872479805823
222,40,112,72.7798,197.419,2.7125521092391023
223,40,112,74.3981,206.619,2.7772080200972873
224,40,112,75.3914,210.941,2.797945123714376
225,40,112,75.8133,213.44,2.8153371506055005
226,40,112,76.0676,214.777,2.8235017274108816
241,72,112,131.549,151.929,1.1549232605340976
227,40,112,76.136,215.385,2.8289508248397603
229,48,112,89.4195,159.095,1.7791980496424158
230,48,112,90.558,168.1,1.8562689105324761
231,48,112,91.0726,172.862,1.898068134653013
232,48,112,91.2476,175.121,1.9191847237625976
233,48,112,91.4672,176.289,1.927346633547326
234,56,112,101.697,135.731,1.334660806120141
235,56,112,104.265,170.046,1.63090202848511
236,56,112,105.56,172.787,1.6368605532398637
237,56,112,106.153,174.322,1.6421768579314762
238,56,112,106.273,175.962,1.6557545190217646
239,56,112,106.527,176.979,1.661353459686277
228,48,112,87.3827,153.477,1.7563774065118154
268,368,112,540.005,1097.33,2.032073777094656
